any,homes,dones,total
2015,21,19,40
2014,25,28,53
2013,24,28,52
2012,35,30,65
2011,34,30,64
2010,30,30,60
2009,47,23,70
2008,31,31,62
2007,49,29,78
2006,42,35,77
2005,34,39,73
2004,40,42,82
2003,31,18,49
2002,35,27,62
2001,33,25,58
2000,31,33,64
1999,20,30,50
1998,24,29,53
1997,21,22,43
1996,20,20,40
1995,14,20,34
1994,21,23,44
1993,20,16,36
1992,17,21,38
1991,15,19,34
1990,29,18,47
1989,25,27,52
1988,26,14,40
1987,26,27,53
1986,24,22,46
1985,26,33,59
1984,32,31,63
1983,47,36,83
1982,38,30,68
1981,36,32,68
1980,45,41,86
1979,35,47,82
1978,43,58,101
1977,47,49,96
1976,48,56,104
1975,46,58,104
1974,55,46,101
1973,58,56,114
1972,44,51,95
1971,68,54,122
1970,45,49,94
1969,38,40,78
1968,50,42,92
1967,52,39,91
1966,44,57,101
1965,42,38,80
1964,55,43,98
1963,40,33,73
1962,39,38,77
1961,35,46,81
1960,33,36,69
1959,35,30,65
1958,41,46,87
1957,25,31,56
1956,45,27,72
1955,40,34,74
1954,37,30,67
1953,24,31,55
1952,23,27,50
1951,26,24,50
1950,26,20,46
1949,21,22,43
1948,30,26,56
1947,27,22,49
1946,22,21,43
1945,31,20,51
1944,20,14,34
1943,24,12,36
1942,9,15,24
1941,8,13,21
1940,15,21,36
1939,6,6,12
1938,6,5,11
1937,6,14,20
1936,8,12,20
1935,13,13,26
1934,6,7,13
1933,10,8,18
1932,6,6,12
1931,8,9,17
1930,3,8,11
1929,9,8,17
1928,3,6,9
1927,2,10,12
1926,4,7,11
1925,2,4,6
1924,3,2,5
1923,0,1,1
1922,2,3,5
1921,1,4,5
1920,0,2,2
1919,1,4,5
1918,0,0,0
1917,0,1,1
1916,1,0,1
